                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.7462,                 1.7383,                 1.8265,                 1.5713,                0.32644,                0.41667,                0.31644,                0.13407,                0.36447,                0.45833,                0.36013,                0.17096,                 2.4225,                 2.7868,                 3.0363,                 2.0468,             0.00023734,             0.00023734,             0.00023734
                     91,                 1.7267,                 1.6416,                 2.1096,                 1.6245,                0.28691,                0.41667,                0.30896,                0.13319,                0.32278,                0.45833,                0.34766,                0.18727,                 2.4151,                 2.7769,                 3.0109,                 2.0511,             0.00021753,             0.00021753,             0.00021753
                     92,                 1.8172,                 1.9119,                 2.0265,                 1.7191,                0.63193,                   0.25,                0.31991,                0.13826,                0.34802,                0.45833,                0.36089,                0.21072,                  2.463,                 2.7252,                 2.8311,                 2.0803,             0.00019773,             0.00019773,             0.00019773
                     93,                 1.8491,                 1.9473,                 2.0686,                 1.8323,                 0.7535,                   0.25,                0.32562,                0.14285,                 0.3791,                    0.5,                0.36719,                 0.2123,                  2.473,                 2.6532,                 2.6872,                 2.0814,             0.00017792,             0.00017792,             0.00017792
                     94,                 1.8676,                 1.8642,                 1.9721,                 1.7561,                0.85655,                0.24897,                 0.3206,                0.14421,                0.37019,                    0.5,                0.37306,                0.20757,                 2.4512,                 2.6378,                 2.6265,                 2.0686,             0.00015812,             0.00015812,             0.00015812
                     95,                 1.7557,                 1.6136,                 1.8507,                 1.7248,                0.77932,                0.20833,                0.30465,                0.14188,                0.38422,                    0.5,                0.36011,                 0.1971,                 2.4687,                 2.6228,                 2.6491,                 2.0753,             0.00013831,             0.00013831,             0.00013831
                     96,                 1.6425,                 1.5897,                 1.6338,                 1.6526,                0.42484,                    0.5,                0.36177,                0.14493,                0.42102,                    0.5,                0.37642,                0.18411,                 2.4933,                 2.6739,                 2.6013,                 2.1321,             0.00011851,             0.00011851,             0.00011851
                     97,                 1.7355,                 1.8661,                 1.8681,                 1.6862,                0.49652,                    0.5,                 0.3747,                0.13709,                0.49652,                    0.5,                0.38193,                0.17665,                 2.5166,                  2.706,                 2.5738,                 2.1488,             9.8701e-05,             9.8701e-05,             9.8701e-05
                     98,                 1.8397,                  1.883,                 1.9295,                 1.6416,                0.58261,                    0.5,                0.39052,                0.14382,                0.58261,                    0.5,                0.39142,                0.18656,                 2.5426,                 2.7241,                 2.5769,                 2.1748,             7.8896e-05,             7.8896e-05,             7.8896e-05
                     99,                 1.8308,                 2.2278,                 1.9582,                 1.7175,                0.62499,                0.48659,                0.41146,                0.14398,                0.62499,                0.48659,                 0.4035,                0.19315,                 2.5501,                 2.7542,                 2.5772,                 2.1873,              5.909e-05,              5.909e-05,              5.909e-05
                    100,                 1.6699,                 1.7949,                 1.6837,                  1.641,                  0.663,                0.45833,                0.42687,                0.14886,                  0.663,                0.45833,                0.41776,                0.18993,                 2.5428,                 2.7534,                  2.546,                 2.1808,             3.9285e-05,             3.9285e-05,             3.9285e-05
